receptor	origin	bbb_top_celltype	bbb_top_rho	any_top_celltype	any_top_rho	n_strong	n_ligands	n_measured	n_sig	best_ligand	best_q	best_coef	weighted_neglogq	dir_consistency	dir_total	all_sig_ligands	hs_concordant	hs_tested	hs_top_celltype	hs_top_log2FC	dir_rate	combined_z	empirical_p	bonus_bbb	final_score	rank
C3AR1	aging-gained	MG	0.7714285714285715	ASC	0.942857142857143	2	2	1	1	C4A	0.0154652660398649	0.000434526789847371	1.8106426046843065	0	0	C4A	0	0		0.0	0.0	-0.08177539413242932	1.0	0.5	0.4182246058675707	22
NPY1R	aging-lost	VLMC	-0.6571428571428573	OPC	-0.6761234037828133	0	3	2	2	PPY	7.41402985985855e-82	0.0052073461382507	121.69491850378576	0	1	PYY;PPY	0	0		0.0	0.0	-0.09396344842070678	1.0	0.5	0.4060365515792932	23
CD44	RJV-restored;aging-lost	ABC	-0.8285714285714287	NSC	0.942857142857143	4	48	8	1	MMP9	0.0431938047152245	-0.000493838521385101	1.3645785395493775	0	0	MMP9	0	0		0.0	0.0	-0.1159832851088318	1.0	0.5	0.3840167148911682	24
CXCR3	aging-gained	MG	-0.14285714285714288	NK	-0.48571428571428577	0	17	14	11	CCL11	8.87471165339236e-94	0.00333622198780454	93.05184574862497	4	10	CXCL13;CCL21;TAC1;CXCL9;CXCL10;CXCL11;CCL13;CCL19;CCL5;CCL11;CCL7	0	0		0.0	0.4	-0.19672566751817688	1.0	0.5	0.3032743324818231	25
TNFRSF1B	aging-lost	MNC	0.8285714285714287	MNC	0.8285714285714287	3	3	2	1	LTA	3.66735582212648e-13	-0.00100939087720397	12.435646950936812	0	1	LTA	0	0		0.0	0.0	-0.25063869307928827	1.0	0.5	0.24936130692071173	26
FZD9	RJV-restored;aging-lost	EC	-0.8285714285714287	OLG	-0.8857142857142858	4	9	4	2	ROR1	0.000612518132140022	0.000370530399024545	3.212881050519675	0	2	ROR1;ROR2	0	0		0.0	0.0	-0.26531373399425023	1.0	0.5	0.23468626600574977	27
CD72	aging-gained	PC	0.9411239481143202	GLUT	0.942857142857143	2	1	1	0	SEMA4D	0.665172207807354	-7.20052379948162e-05	0.17706590474424513	0	0		0	0		0.0	0.0	-0.272595032554411	1.0	0.5	0.22740496744558902	28
ITGA1	aging-gained	CPC	0.6546536707079772	Hb_VC	0.8857142857142858	3	23	1	1	SEMA7A	0.0048140704092801	0.000400059074188888	2.31748756214196	0	0	SEMA7A	0	0		0.0	0.0	-0.35628095800598164	1.0	0.5	0.14371904199401836	29
EPHA8	RJV-restored	ABC	-0.6546536707079772	NendC	0.6571428571428573	0	6	4	2	EFNA4	9.42200103136171e-07	0.000504395653674045	6.02585685255855	1	2	EFNA3;EFNA4	0	0		0.0	0.5	-0.4139077287008841	1.0	0.5	0.0860922712991159	30
PLXNA2	aging-gained	EC	0.8285714285714287	ARP	-0.8285714285714287	4	3	2	2	SEMA6A	2.29105459131922e-06	-0.000375585712007963	5.639964562305046	0	1	SEMA3A;SEMA6A	0	0		0.0	0.0	-0.4413862215898022	1.0	0.5	0.058613778410197825	31
LIFR	aging-gained	EC	0.8857142857142858	EC	0.8857142857142858	3	6	5	0	OSM	0.103799794150771	-0.00038360316528017	0.9838035077522325	0	0		0	0		0.0	0.0	-0.5287387157482722	1.0	0.5	-0.028738715748272248	32
CD74	RJV-restored;aging-lost	DC	0.7142857142857143	ARP	0.8406680016960503	2	2	1	1	APP	0.015117509634194	0.000641810889190469	1.820519745951658	0	0	APP	0	0		0.0	0.0	-0.5601761512453028	1.0	0.5	-0.060176151245302845	33
SV2C	aging-lost	MG	-0.7142857142857143	NendC	0.942857142857143	3	11	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-0.587438686165273	1.0	0.5	-0.08743868616527295	34
XCR1	aging-lost	DC	-0.8285714285714287	DC	-0.8285714285714287	1	3	1	0	XCL1	0.0764744886970811	0.000222458750868471	1.1164834179951777	0	0		0	0		0.0	0.0	-0.8109782829005553	1.0	0.5	-0.3109782829005553	35
NTNG1	aging-lost	PC	-0.8804062740424288	PC	-0.8804062740424288	4	1	1	0	LRRC4C	0.903945479869875	1.9761930553994e-05	0.04385776256191217	0	0		0	0		0.0	0.0	-0.8258133832672921	1.0	0.5	-0.32581338326729214	36
ERBB3	AGA-induced;aging-gained	MG	0.6377481392176932	GLUT	-0.6957252427829382	0	10	7	2	L1CAM	0.000152369928931125	0.000487856163556575	3.817100735016729	0	0	EGF;L1CAM	0	0		0.0	0.0	-0.8685921350219143	1.0	0.5	-0.36859213502191435	37
ITGA7	aging-gained	EC	-0.6571428571428573	ASC	-0.8857142857142858	2	6	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-0.9267255616443496	1.0	0.5	-0.4267255616443496	38
IL6ST	aging-gained	PC	-0.5428571428571429	ASC	-0.6	0	10	8	1	IL6	4.12795583291664e-05	0.000715572509065947	4.384264958091892	0	1	IL6	0	0		0.0	0.0	-1.1767844645518637	1.0	0.5	-0.6767844645518637	39
MCAM	RJV-restored;aging-lost	VSMC	-0.8285714285714287	OEG	-0.8285714285714287	2	1	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.246659281527634	1.0	0.5	-0.7466592815276341	40
ICAM2	RJV-restored;aging-lost	VLMC	-0.8285714285714287	VLMC	-0.8285714285714287	1	0	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.246659281527634	1.0	0.5	-0.7466592815276341	41
FLT3	aging-lost	CPC	0.6982532518267538	CPC	0.6982532518267538	0	1	1	0	FLT3LG	0.756229470352169	6.4327015209814e-05	0.12134640213622067	0	0		0	0		0.0	0.0	-1.2968693640456348	1.0	0.5	-0.7968693640456348	42
C5AR1	aging-gained	VLMC	0.6982532518267538	ASC	0.8116794499134279	2	4	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.3970155491615641	1.0	0.5	-0.8970155491615641	43
ITGAL	RJV-restored;aging-lost	DC	-0.6571428571428573	GLUT	0.6571428571428573	0	6	4	0	ICAM2	0.174203720664366	-0.000148828162740385	0.7589425735146521	0	0		0	0		0.0	0.0	-1.4284890866673239	1.0	0.5	-0.9284890866673239	44
