receptor	origin	bbb_top_celltype	bbb_top_rho	any_top_celltype	any_top_rho	n_strong	n_ligands	n_measured	n_sig	best_ligand	best_q	best_coef	weighted_neglogq	dir_consistency	dir_total	all_sig_ligands	hs_concordant	hs_tested	hs_top_celltype	hs_top_log2FC	dir_rate	combined_z	bonus_bbb	final_score	rank
CXCR3	aging-gained	MG	-0.14285714285714288	NK	-0.48571428571428577	0	17	14	11	CCL11	8.87471165339236e-94	0.00333622198780454	93.05184574862497	4	10	CXCL13;CCL21;TAC1;CXCL9;CXCL10;CXCL11;CCL13;CCL19;CCL5;CCL11;CCL7	0	0		0.0	0.4	-0.49953860295714697	0.5	0.00046139704285302896	31
EPHA8	RJV-restored	ABC	-0.6546536707079772	NendC	0.6571428571428573	0	6	4	2	EFNA4	9.42200103136171e-07	0.000504395653674045	6.02585685255855	1	2	EFNA3;EFNA4	0	0		0.0	0.5	-0.5570518702433296	0.5	-0.05705187024332958	32
PLXNA2	aging-gained	EC	0.8285714285714287	ARP	-0.8285714285714287	4	3	2	2	SEMA6A	2.29105459131922e-06	-0.000375585712007963	5.639964562305046	0	1	SEMA3A;SEMA6A	0	0		0.0	0.0	-0.6176124464827876	0.5	-0.11761244648278757	33
LIFR	aging-gained	EC	0.8857142857142858	EC	0.8857142857142858	3	6	5	0	OSM	0.103799794150771	-0.00038360316528017	0.9838035077522325	0	0		0	0		0.0	0.0	-0.6911769623780982	0.5	-0.19117696237809823	34
CD74	RJV-restored;aging-lost	DC	0.7142857142857143	ARP	0.8406680016960503	2	2	1	1	APP	0.015117509634194	0.000641810889190469	1.820519745951658	0	0	APP	0	0		0.0	0.0	-0.7331384143038554	0.5	-0.2331384143038554	35
XCR1	aging-lost	DC	-0.8285714285714287	DC	-0.8285714285714287	1	3	1	0	XCL1	0.0764744886970811	0.000222458750868471	1.1164834179951777	0	0		0	0		0.0	0.0	-0.9641806205220248	0.5	-0.4641806205220248	36
ERBB3	AGA-induced;aging-gained	MG	0.6377481392176932	GLUT	-0.6957252427829382	0	10	7	2	L1CAM	0.000152369928931125	0.000487856163556575	3.817100735016729	0	0	EGF;L1CAM	0	0		0.0	0.0	-1.047774266314385	0.5	-0.547774266314385	37
NTNG1	aging-lost	PC	-0.8804062740424288	PC	-0.8804062740424288	4	1	1	0	LRRC4C	0.903945479869875	1.9761930553994e-05	0.04385776256191217	0	0		0	0		0.0	0.0	-1.0740326130392184	0.5	-0.5740326130392184	38
ITGAL	RJV-restored;aging-lost	DC	-0.6571428571428573	GLUT	0.6571428571428573	0	6	5	1	ICAM4	5.86624762387042e-07	0.00100272112561454	6.231639608690836	0	1	ICAM4	0	0		0.0	0.0	-1.0991922028955075	0.5	-0.5991922028955075	39
C5AR1	aging-gained	VLMC	0.6982532518267538	ASC	0.8116794499134279	2	4	1	0	FN1	0.654883649162506	5.59808077983721e-05	0.18383585270319666	0	0		0	0		0.0	0.0	-1.2135263046001434	0.5	-0.7135263046001434	40
IL6ST	aging-gained	PC	-0.5428571428571429	ASC	-0.6	0	10	8	1	IL6	4.12795583291664e-05	0.000715572509065947	4.384264958091892	0	1	IL6	0	0		0.0	0.0	-1.3542250065561496	0.5	-0.8542250065561496	41
MCAM	RJV-restored;aging-lost	VSMC	-0.8285714285714287	OEG	-0.8285714285714287	2	1	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.4882071313311993	0.5	-0.9882071313311993	42
ICAM2	RJV-restored;aging-lost	VLMC	-0.8285714285714287	VLMC	-0.8285714285714287	1	0	0	0			0.0	0.0	0	0		0	0		0.0	0.0	-1.4882071313311993	0.5	-0.9882071313311993	43
FLT3	aging-lost	CPC	0.6982532518267538	CPC	0.6982532518267538	0	1	1	0	FLT3LG	0.756229470352169	6.4327015209814e-05	0.12134640213622067	0	0		0	0		0.0	0.0	-1.5101868417417588	0.5	-1.0101868417417588	44
